instance,fitness,convergence_gen,execution_time,num_routes,num_used_depots,is_valid,population_size,elite_percent,mutants_percent,max_generations,p_bias
p01,1229.95,46,3.316,11,4,True,50,0.1,0.1,50,0.7
p01,1216.15,44,3.354,11,4,True,50,0.1,0.1,50,0.8
p01,1165.47,34,3.503,11,4,True,50,0.1,0.1,50,0.9
p01,1184.79,43,3.924,11,4,True,50,0.1,0.1,100,0.7
p01,1139.8,31,4.668,11,4,True,50,0.1,0.1,100,0.8
p01,1196.66,30,2.745,11,4,True,50,0.1,0.1,100,0.9
p01,1232.13,36,2.816,11,4,True,50,0.1,0.1,150,0.7
p01,1202.53,21,4.249,11,4,True,50,0.1,0.1,150,0.8
p01,1173.43,9,2.136,11,4,True,50,0.1,0.1,150,0.9
p01,1097.39,46,4.129,11,4,True,50,0.1,0.1,200,0.7
p01,1270.09,13,2.109,11,4,True,50,0.1,0.1,200,0.8
p01,1182.89,5,2.543,11,4,True,50,0.1,0.1,200,0.9
p01,1138.22,26,2.627,11,4,True,50,0.1,0.1,250,0.7
p01,1204.57,27,2.212,11,4,True,50,0.1,0.1,250,0.8
p01,1129.23,7,3.399,11,4,True,50,0.1,0.1,250,0.9
p01,1376.79,43,2.464,11,4,True,50,0.1,0.2,50,0.7
p01,1032.97,46,3.693,11,4,True,50,0.1,0.2,50,0.8
p01,1170.28,16,2.775,11,4,True,50,0.1,0.2,50,0.9
p01,1225.36,58,4.086,11,4,True,50,0.1,0.2,100,0.7
p01,1117.44,9,3.338,11,4,True,50,0.1,0.2,100,0.8
p01,1126.47,19,3.308,11,4,True,50,0.1,0.2,100,0.9
p01,1054.97,38,4.865,11,4,True,50,0.1,0.2,150,0.7
p01,1053.68,45,3.959,11,4,True,50,0.1,0.2,150,0.8
p01,1187.6,50,3.867,11,4,True,50,0.1,0.2,150,0.9
p01,1153.0,41,3.279,11,4,True,50,0.1,0.2,200,0.7
p01,1143.47,18,3.597,11,4,True,50,0.1,0.2,200,0.8
p01,1278.6,32,2.185,11,4,True,50,0.1,0.2,200,0.9
p01,1054.16,56,6.307,11,4,True,50,0.1,0.2,250,0.7
p01,1141.07,60,3.85,11,4,True,50,0.1,0.2,250,0.8
p01,1279.3,22,3.076,11,4,True,50,0.1,0.2,250,0.9
p01,1212.77,49,3.686,11,4,True,50,0.1,0.3,50,0.7
p01,1218.92,48,3.547,11,4,True,50,0.1,0.3,50,0.8
p01,1115.43,48,3.71,11,4,True,50,0.1,0.3,50,0.9
p01,1100.66,56,5.124,11,4,True,50,0.1,0.3,100,0.7
