# Hyperparameter Testing for Instance: p01
# Format: config_string, best_distance, convergence_generation, execution_time, num_routes, num_used_depots
#
pop=50_elite=0.1_mutant=0.1_gen=50_bias=0.7, 1229.95, 46, 3.316, 11, 4
pop=50_elite=0.1_mutant=0.1_gen=50_bias=0.8, 1216.15, 44, 3.354, 11, 4
pop=50_elite=0.1_mutant=0.1_gen=50_bias=0.9, 1165.47, 34, 3.503, 11, 4
pop=50_elite=0.1_mutant=0.1_gen=100_bias=0.7, 1184.79, 43, 3.924, 11, 4
pop=50_elite=0.1_mutant=0.1_gen=100_bias=0.8, 1139.8, 31, 4.668, 11, 4
pop=50_elite=0.1_mutant=0.1_gen=100_bias=0.9, 1196.66, 30, 2.745, 11, 4
pop=50_elite=0.1_mutant=0.1_gen=150_bias=0.7, 1232.13, 36, 2.816, 11, 4
pop=50_elite=0.1_mutant=0.1_gen=150_bias=0.8, 1202.53, 21, 4.249, 11, 4
pop=50_elite=0.1_mutant=0.1_gen=150_bias=0.9, 1173.43, 9, 2.136, 11, 4
pop=50_elite=0.1_mutant=0.1_gen=200_bias=0.7, 1097.39, 46, 4.129, 11, 4
pop=50_elite=0.1_mutant=0.1_gen=200_bias=0.8, 1270.09, 13, 2.109, 11, 4
pop=50_elite=0.1_mutant=0.1_gen=200_bias=0.9, 1182.89, 5, 2.543, 11, 4
pop=50_elite=0.1_mutant=0.1_gen=250_bias=0.7, 1138.22, 26, 2.627, 11, 4
pop=50_elite=0.1_mutant=0.1_gen=250_bias=0.8, 1204.57, 27, 2.212, 11, 4
pop=50_elite=0.1_mutant=0.1_gen=250_bias=0.9, 1129.23, 7, 3.399, 11, 4
pop=50_elite=0.1_mutant=0.2_gen=50_bias=0.7, 1376.79, 43, 2.464, 11, 4
pop=50_elite=0.1_mutant=0.2_gen=50_bias=0.8, 1032.97, 46, 3.693, 11, 4
pop=50_elite=0.1_mutant=0.2_gen=50_bias=0.9, 1170.28, 16, 2.775, 11, 4
pop=50_elite=0.1_mutant=0.2_gen=100_bias=0.7, 1225.36, 58, 4.086, 11, 4
pop=50_elite=0.1_mutant=0.2_gen=100_bias=0.8, 1117.44, 9, 3.338, 11, 4
pop=50_elite=0.1_mutant=0.2_gen=100_bias=0.9, 1126.47, 19, 3.308, 11, 4
pop=50_elite=0.1_mutant=0.2_gen=150_bias=0.7, 1054.97, 38, 4.865, 11, 4
pop=50_elite=0.1_mutant=0.2_gen=150_bias=0.8, 1053.68, 45, 3.959, 11, 4
pop=50_elite=0.1_mutant=0.2_gen=150_bias=0.9, 1187.6, 50, 3.867, 11, 4
pop=50_elite=0.1_mutant=0.2_gen=200_bias=0.7, 1153, 41, 3.279, 11, 4
pop=50_elite=0.1_mutant=0.2_gen=200_bias=0.8, 1143.47, 18, 3.597, 11, 4
pop=50_elite=0.1_mutant=0.2_gen=200_bias=0.9, 1278.6, 32, 2.185, 11, 4
pop=50_elite=0.1_mutant=0.2_gen=250_bias=0.7, 1054.16, 56, 6.307, 11, 4
pop=50_elite=0.1_mutant=0.2_gen=250_bias=0.8, 1141.07, 60, 3.85, 11, 4
pop=50_elite=0.1_mutant=0.2_gen=250_bias=0.9, 1279.3, 22, 3.076, 11, 4
pop=50_elite=0.1_mutant=0.3_gen=50_bias=0.7, 1212.77, 49, 3.686, 11, 4
pop=50_elite=0.1_mutant=0.3_gen=50_bias=0.8, 1218.92, 48, 3.547, 11, 4
pop=50_elite=0.1_mutant=0.3_gen=50_bias=0.9, 1115.43, 48, 3.71, 11, 4
pop=50_elite=0.1_mutant=0.3_gen=100_bias=0.7, 1100.66, 56, 5.124, 11, 4
pop=50_elite=0.1_mutant=0.3_gen=100_bias=0.8, 1033.18, 49, 5.016, 11, 4
pop=50_elite=0.1_mutant=0.3_gen=100_bias=0.9, 1168.01, 40, 4.174, 11, 4
pop=50_elite=0.1_mutant=0.3_gen=150_bias=0.7, 1153.3, 53, 3.809, 11, 4
pop=50_elite=0.1_mutant=0.3_gen=150_bias=0.8, 994.675, 27, 3.618, 11, 4
pop=50_elite=0.1_mutant=0.3_gen=150_bias=0.9, 1098.89, 39, 3.989, 11, 4
pop=50_elite=0.1_mutant=0.3_gen=200_bias=0.7, 1134.73, 51, 3.541, 11, 4
pop=50_elite=0.1_mutant=0.3_gen=200_bias=0.8, 1241.8, 12, 1.731, 11, 4
pop=50_elite=0.1_mutant=0.3_gen=200_bias=0.9, 1283.93, 68, 3.928, 11, 4
pop=50_elite=0.1_mutant=0.3_gen=250_bias=0.7, 1098.89, 64, 4.754, 11, 4
pop=50_elite=0.1_mutant=0.3_gen=250_bias=0.8, 1095.81, 33, 2.857, 11, 4
pop=50_elite=0.1_mutant=0.3_gen=250_bias=0.9, 1158.18, 9, 2.728, 11, 4
pop=50_elite=0.1_mutant=0.4_gen=50_bias=0.7, 1160.14, 1, 2.204, 11, 4
pop=50_elite=0.1_mutant=0.4_gen=50_bias=0.8, 1248.37, 44, 3.641, 11, 4
pop=50_elite=0.1_mutant=0.4_gen=50_bias=0.9, 1274, 43, 2.92, 11, 4
pop=50_elite=0.1_mutant=0.4_gen=100_bias=0.7, 1361.15, 68, 3.371, 11, 4
pop=50_elite=0.1_mutant=0.4_gen=100_bias=0.8, 1204.92, 3, 2.5, 11, 4
pop=50_elite=0.1_mutant=0.4_gen=100_bias=0.9, 1168.6, 23, 2.388, 11, 4
pop=50_elite=0.1_mutant=0.4_gen=150_bias=0.7, 1325.22, 14, 1.292, 11, 4
pop=50_elite=0.1_mutant=0.4_gen=150_bias=0.8, 1210.92, 39, 3.353, 11, 4
pop=50_elite=0.1_mutant=0.4_gen=150_bias=0.9, 1202.5, 67, 4.046, 11, 4
pop=50_elite=0.1_mutant=0.4_gen=200_bias=0.7, 1263.66, 10, 1.177, 11, 4
pop=50_elite=0.1_mutant=0.4_gen=200_bias=0.8, 1091.06, 64, 4.351, 11, 4
pop=50_elite=0.1_mutant=0.4_gen=200_bias=0.9, 1296.23, 29, 2.145, 11, 4
pop=50_elite=0.1_mutant=0.4_gen=250_bias=0.7, 1261.98, 40, 3.101, 11, 4
pop=50_elite=0.1_mutant=0.4_gen=250_bias=0.8, 1176.2, 19, 3.412, 11, 4
pop=50_elite=0.1_mutant=0.4_gen=250_bias=0.9, 1251.49, 48, 4.462, 11, 4
pop=50_elite=0.1_mutant=0.5_gen=50_bias=0.7, 1293.59, 7, 2.102, 11, 4
pop=50_elite=0.1_mutant=0.5_gen=50_bias=0.8, 1203.67, 46, 3.269, 11, 4
pop=50_elite=0.1_mutant=0.5_gen=50_bias=0.9, 1274.67, 35, 2.758, 11, 4
pop=50_elite=0.1_mutant=0.5_gen=100_bias=0.7, 1305.98, 5, 1.318, 11, 4
pop=50_elite=0.1_mutant=0.5_gen=100_bias=0.8, 1114.42, 36, 4.66, 11, 4
pop=50_elite=0.1_mutant=0.5_gen=100_bias=0.9, 1112.51, 15, 2.02, 11, 4
pop=50_elite=0.1_mutant=0.5_gen=150_bias=0.7, 1373.24, 20, 1.923, 11, 4
pop=50_elite=0.1_mutant=0.5_gen=150_bias=0.8, 1288.97, 5, 1.118, 11, 4
pop=50_elite=0.1_mutant=0.5_gen=150_bias=0.9, 1156.34, 111, 7.169, 11, 4
pop=50_elite=0.1_mutant=0.5_gen=200_bias=0.7, 1177.16, 7, 2.124, 11, 4
pop=50_elite=0.1_mutant=0.5_gen=200_bias=0.8, 1162.62, 2, 2.315, 11, 4
pop=50_elite=0.1_mutant=0.5_gen=200_bias=0.9, 1230.5, 10, 3.722, 11, 4
pop=50_elite=0.1_mutant=0.5_gen=250_bias=0.7, 1195.6, 41, 3.611, 11, 4
pop=50_elite=0.1_mutant=0.5_gen=250_bias=0.8, 1164.86, 17, 3.329, 11, 4
pop=50_elite=0.1_mutant=0.5_gen=250_bias=0.9, 1110.56, 29, 5.437, 11, 4
pop=50_elite=0.2_mutant=0.1_gen=50_bias=0.7, 1164.7, 41, 4.323, 11, 4
pop=50_elite=0.2_mutant=0.1_gen=50_bias=0.8, 1152.07, 48, 4.377, 11, 4
pop=50_elite=0.2_mutant=0.1_gen=50_bias=0.9, 1119.85, 33, 3.349, 11, 4
pop=50_elite=0.2_mutant=0.1_gen=100_bias=0.7, 1054.77, 35, 6.977, 11, 4
pop=50_elite=0.2_mutant=0.1_gen=100_bias=0.8, 1074.8, 20, 4.347, 11, 4
pop=50_elite=0.2_mutant=0.1_gen=100_bias=0.9, 1300.37, 25, 3.921, 11, 4
pop=50_elite=0.2_mutant=0.1_gen=150_bias=0.7, 1164.54, 38, 5.368, 11, 4
pop=50_elite=0.2_mutant=0.1_gen=150_bias=0.8, 1110.83, 4, 3.484, 11, 4
pop=50_elite=0.2_mutant=0.1_gen=150_bias=0.9, 1203.15, 36, 3.96, 11, 4
pop=50_elite=0.2_mutant=0.1_gen=200_bias=0.7, 1099.89, 4, 4.044, 11, 4
pop=50_elite=0.2_mutant=0.1_gen=200_bias=0.8, 1005.63, 35, 9.567, 11, 4
pop=50_elite=0.2_mutant=0.1_gen=200_bias=0.9, 1258.84, 13, 3.155, 11, 4
pop=50_elite=0.2_mutant=0.1_gen=250_bias=0.7, 1018.56, 32, 6.29, 11, 4
pop=50_elite=0.2_mutant=0.1_gen=250_bias=0.8, 1223.07, 35, 5.28, 11, 4
pop=50_elite=0.2_mutant=0.1_gen=250_bias=0.9, 1226.55, 96, 8.266, 11, 4
pop=50_elite=0.2_mutant=0.2_gen=50_bias=0.7, 1297.27, 46, 3.352, 11, 4
pop=50_elite=0.2_mutant=0.2_gen=50_bias=0.8, 1113.4, 45, 4.85, 11, 4
