# Hyperparameter Testing for Instance: pr07
# Format: config_string, best_distance, convergence_generation, execution_time, num_routes, num_used_depots
#
pop=50_elite=0.1_mutant=0.1_gen=50_bias=0.7, 2467.81, 49, 33.558, 6, 6
pop=50_elite=0.1_mutant=0.1_gen=50_bias=0.8, 2591.62, 23, 35.034, 6, 6
pop=50_elite=0.1_mutant=0.1_gen=50_bias=0.9, 2463.74, 12, 15.686, 6, 6
pop=50_elite=0.1_mutant=0.1_gen=100_bias=0.7, 2531.17, 25, 30.591, 6, 6
pop=50_elite=0.1_mutant=0.1_gen=100_bias=0.8, 2398.72, 26, 29.141, 6, 6
pop=50_elite=0.1_mutant=0.1_gen=100_bias=0.9, 2612.03, 41, 35.333, 6, 6
pop=50_elite=0.1_mutant=0.1_gen=150_bias=0.7, 2546.69, 30, 38.39, 6, 6
pop=50_elite=0.1_mutant=0.1_gen=150_bias=0.8, 2512.9, 55, 70.585, 6, 6
pop=50_elite=0.1_mutant=0.1_gen=150_bias=0.9, 2521.61, 35, 35.288, 6, 6
pop=50_elite=0.1_mutant=0.1_gen=200_bias=0.7, 2180.27, 66, 76.22, 6, 6
pop=50_elite=0.1_mutant=0.1_gen=200_bias=0.8, 2321.6, 36, 36.429, 6, 6
pop=50_elite=0.1_mutant=0.1_gen=200_bias=0.9, 2538.31, 15, 33.468, 6, 6
pop=50_elite=0.1_mutant=0.1_gen=250_bias=0.7, 2310.77, 36, 36.474, 6, 6
pop=50_elite=0.1_mutant=0.1_gen=250_bias=0.8, 2387.86, 14, 37.613, 6, 6
pop=50_elite=0.1_mutant=0.1_gen=250_bias=0.9, 2780.78, 51, 25.54, 6, 6
pop=50_elite=0.1_mutant=0.2_gen=50_bias=0.7, 2325.82, 46, 30.477, 6, 6
pop=50_elite=0.1_mutant=0.2_gen=50_bias=0.8, 2443.28, 43, 27.161, 7, 6
pop=50_elite=0.1_mutant=0.2_gen=50_bias=0.9, 2741.27, 49, 32.649, 6, 6
pop=50_elite=0.1_mutant=0.2_gen=100_bias=0.7, 2485.76, 46, 28.378, 6, 6
pop=50_elite=0.1_mutant=0.2_gen=100_bias=0.8, 2469.79, 51, 39.973, 6, 6
pop=50_elite=0.1_mutant=0.2_gen=100_bias=0.9, 2477.39, 19, 20.87, 6, 6
pop=50_elite=0.1_mutant=0.2_gen=150_bias=0.7, 2572.73, 29, 26.873, 6, 6
pop=50_elite=0.1_mutant=0.2_gen=150_bias=0.8, 2563.29, 44, 31.123, 6, 6
pop=50_elite=0.1_mutant=0.2_gen=150_bias=0.9, 2293.17, 60, 62.083, 6, 6
pop=50_elite=0.1_mutant=0.2_gen=200_bias=0.7, 2374.81, 110, 67.241, 6, 6
pop=50_elite=0.1_mutant=0.2_gen=200_bias=0.8, 2468.1, 90, 55.877, 6, 6
pop=50_elite=0.1_mutant=0.2_gen=200_bias=0.9, 2513.6, 68, 40.455, 6, 6
pop=50_elite=0.1_mutant=0.2_gen=250_bias=0.7, 2422.5, 54, 49.664, 6, 6
pop=50_elite=0.1_mutant=0.2_gen=250_bias=0.8, 2590.43, 35, 38.444, 6, 6
pop=50_elite=0.1_mutant=0.2_gen=250_bias=0.9, 2525.57, 8, 33.93, 6, 6
pop=50_elite=0.1_mutant=0.3_gen=50_bias=0.7, 2502.07, 24, 17.153, 6, 6
pop=50_elite=0.1_mutant=0.3_gen=50_bias=0.8, 2605.91, 46, 24.407, 6, 6
pop=50_elite=0.1_mutant=0.3_gen=50_bias=0.9, 2669.31, 9, 11.195, 7, 6
pop=50_elite=0.1_mutant=0.3_gen=100_bias=0.7, 2637.56, 39, 36.344, 6, 6
pop=50_elite=0.1_mutant=0.3_gen=100_bias=0.8, 2567.66, 57, 30.717, 6, 6
pop=50_elite=0.1_mutant=0.3_gen=100_bias=0.9, 2482.72, 53, 39.91, 6, 6
pop=50_elite=0.1_mutant=0.3_gen=150_bias=0.7, 2524.95, 31, 23.911, 6, 6
pop=50_elite=0.1_mutant=0.3_gen=150_bias=0.8, 2318.99, 86, 49.459, 6, 6
pop=50_elite=0.1_mutant=0.3_gen=150_bias=0.9, 2550.4, 11, 34.032, 6, 6
