tiempo,fitness,instancia,depots,cars,max_capacity
152.72538042068481,612.4813822098977,p01.dat,4,11,80.0
62.48506307601929,527.6447034280221,p02.dat,4,6,155.0
229.11371445655823,706.6938054159936,p03.dat,5,11,139.0
609.5657157897949,1142.5352849925791,p04.dat,2,16,100.0
606.809597492218,1067.330451087273,p05.dat,2,8,197.0
346.0651731491089,1066.818327685098,p06.dat,3,17,99.0
504.05060839653015,1113.432274041735,p07.dat,4,16,100.0
2395.8019323349,8601.38366850482,p08.dat,2,26,500.0
3069.9143521785736,9299.957168385516,p09.dat,3,26,500.0
2350.1689727306366,7222.572416305981,p10.dat,4,26,500.0
2287.8122453689575,7320.934697610834,p11.dat,5,26,500.0
387.9099509716034,1671.5119636059562,p12.dat,2,8,60.0
274.9249949455261,1646.1964318306962,p13.dat,2,8,60.0
357.99964714050293,1693.3472205866046,p14.dat,2,8,60.0
1144.6964535713196,4348.3617886951015,p15.dat,4,17,60.0
1142.5203676223755,4557.559469311833,p16.dat,4,16,60.0
1138.425040960312,3957.745245595606,p17.dat,4,16,60.0
2146.1514172554016,7621.214849440378,p18.dat,6,24,60.0
2137.11004781723,8796.169377444943,p19.dat,6,24,60.0
2142.533787727356,8087.237229353288,p20.dat,6,25,60.0
4198.397518396378,21293.99207156217,p21.dat,9,37,60.0
4193.393870592117,21868.755004297855,p22.dat,9,35,60.0
4240.448595046997,21443.32730825331,p23.dat,9,37,60.0
11.932715892791748,207.47360642696847,pfbo.dat,4,6,37.0
